Protocollo,Gruppo,DataOraIncidente,Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,Chilometrica,DaSpecificare,NaturaIncidente,particolaritastrade,TipoStrada,FondoStradale,Pavimentazione,Segnaletica,CondizioneAtmosferica,Traffico,Visibilita,Illuminazione,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,Longitude,Latitude,Confermato,Progressivo,TipoVeicolo,StatoVeicolo,TipoPersona,Sesso,Tipolesione,Deceduto,DecedutoDopo,CinturaCascoUtilizzato,Airbag
5865330,12,13/03/2022 18:40,Provinciale,VIA ARDEATINA,in corrispondenza,,della chilometrica,16.4,,Scontro frontale/laterale DX fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Insufficiente,,3,1,1,0,129.15.00,420.11.00,-1,2,Autovettura privata,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,,
5876003,12,20/03/2022 19:45,Provinciale,VIA ARDEATINA,in prossimità,,della chilometrica,18.8,,Veicolo in marcia contro ostacolo fisso,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,,0,0,1,0,129.15.00,420.11.00,-1,1,Autovettura privata,In marcia / fermata / arresto,Conducente,M,Deceduto durante prime cure,-1,,Non utilizzato,Esploso
5880154,13,23/03/2022 09:30,Provinciale entro l'abitato,VIA OSTIENSE,in corrispondenza,,del civico n.,1741B,,Veicolo in marcia contro ostacolo fisso,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,0,0,1,0,134.28.00,431.27.00,0,1,Autovettura privata,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Non utilizzato,Esploso
5885177,5,26/03/2022 04:45,Strada Urbana,VIA DEI CASTANI,all'intersezione con,VIA DEI FAGGI,VIA DEI FAGGI,,,Scontro laterale fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,,1,0,1,1,136.08.00,432.02.00,0,1,Autovettura privata,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Non accertato,
5899944,11,05/04/2022 00:50,Statale,VIA PONTINA (CARREGGIATA COMPLANARE),da specificare,,,,"prossimità Vallerano, altezza civico 421",Investimento di pedone,Rettilineo,Più di due carreggiate,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Insufficiente,,0,0,1,1,132.26.00,431.42.00,-1,,,,Pedone,F,Deceduto sul posto,-1,,,
5904368,20,07/04/2022 17:30,Strada Urbana,CORSO DI FRANCIA,in corrispondenza,,del civico n.,147,,Veicolo in marcia contro ostacolo fisso,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Buona,,0,0,1,0,135.43.00,426.02.00,-1,1,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Non accertato,
5915878,17,14/04/2022 13:20,Strada Urbana,VIA RUGGERO DI LAURIA,all'intersezione con,VIA FRANCESCO CARACCIOLO,VIA FRANCESCO CARACCIOLO,,,Scontro frontale/laterale DX fra veicoli in marcia,Incrocio,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,0,0,1,1,132.25.00,420.24.00,0,1,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto durante prime cure,-1,,Utilizzato,
5919689,13,19/04/2022 01:40,Strada Urbana,VIA CRISTOFORO COLOMBO,all'intersezione con,VIA DI GROTTA PERFETTA,VIA DI GROTTA PERFETTA,,,Veicolo in marcia contro ostacolo fisso,Intersezione semaforizzata,Più di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,0,0,1,0,125.55.00,431.18.00,0,1,Autovettura privata,In marcia / fermata / arresto,Conducente,F,Deceduto durante trasporto,-1,,,
5921892,3,19/04/2022 21:20,Strada Urbana,LARGO GUIDO MAZZONI,da specificare,,,,area interno Tibus fermata pullman nr. 3,Investimento di pedone,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,,0,0,1,1,129.45.00,420.36.00,-1,,,,Pedone,F,Deceduto durante prime cure,-1,,,
5930917,20,27/04/2022 02:40,Strada Urbana,VIA DI BOCCEA,in corrispondenza,,del civico n.,1021,,Fuoriuscita dalla sede stradale,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,,2,0,1,0,129.47.00,424.31.00,-1,1,Autovettura privata,In marcia / fermata / arresto,Passeggero,M,Deceduto sul posto,-1,,Non accertato,
5946652,8,07/05/2022 00:05,Statale entro l'abitato,VIA CASILINA,all'intersezione con,VIA DEL PONTE DELLA CATENA,VIA DEL PONTE DELLA CATENA,,,Scontro frontale fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,,2,0,1,0,135.17.00,428.43.00,0,2,Autovettura privata,In marcia / fermata / arresto,Conducente,M,Deceduto durante prime cure,-1,,Non accertato,Esploso
5949622,4,08/05/2022 22:05,Strada Urbana,VIALE DI TOR DI QUINTO,in corrispondenza,,del civico n.,118,,Veicolo in marcia contro ostacolo fisso,Curva a visuale libera,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,,1,0,1,1,137.31.00,425.23.00,0,2,Monopattino elettrico,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Esente,
5956198,9,12/05/2022 21:30,Strada Urbana,VIA TUSCOLANA,all'intersezione semaforizzata con,VIA GELA,VIA GELA,,,Scontro frontale/laterale DX fra veicoli in marcia,Intersezione semaforizzata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,1,0,1,0,128.38.00,431.15.00,0,2,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto durante prime cure,-1,,Utilizzato,
5968168,11,19/05/2022 21:30,Strada Urbana,VIA DI TOR CARBONE,in prossimità,,del palo luce n.,85,,Fuoriuscita dalla sede stradale,Curva a visuale libera,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,,0,0,1,0,128.48.00,422.32.00,-1,1,Autovettura privata,In marcia / fermata / arresto,Conducente,M,Deceduto durante trasporto,-1,,,
5970931,10,21/05/2022 18:00,Strada Urbana,VIALE PALMIRO TOGLIATTI,all'intersezione semaforizzata con,VIA GIUSEPPE CHIOVENDA,VIA GIUSEPPE CHIOVENDA,,,Ribaltamento senza urto contro ostacolo fisso,Intersezione semaforizzata,Più di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,1,0,1,2,136.44.00,427.51.00,-1,1,Autovettura privata,In marcia / fermata / arresto,Passeggero,F,Deceduto durante prime cure,-1,,Non accertato,Inesploso
5987089,16,01/06/2022 05:00,Strada Urbana,VIA DELLA MAGLIANA,in corrispondenza,,del civico n.,68B,,Scontro frontale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,,1,0,1,1,19.39,427.39.00,-1,2,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,,
5987198,9,01/06/2022 00:55,Strada Urbana,VIA DI BOCCEA,in prossimità,,del civico n.,112,,Veicolo in marcia contro veicolo in sosta,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,2,0,1,3,128.11.00,419.22.00,-1,1,Autovettura privata,In marcia / fermata / arresto,Conducente,F,Deceduto durante prime cure,-1,,Non accertato,Inesploso
5989356,3,02/06/2022 09:50,,VIA TIBURTINA,da specificare,,,,dir Portonaccio alt attrav pedonale semaf,Investimento di pedone,,,,,,,,,,0,0,1,1,,,0,,,,Pedone,M,Deceduto durante prime cure,-1,,,
6014500,7,18/06/2022 01:20,Strada Urbana,VIA APPIA NUOVA,in prossimità,,del civico n.,1259,,Veicolo in marcia contro ostacolo fisso,Curva a visuale libera,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,,0,1,1,0,137.13.00,420.27.00,-1,1,Motociclo a solo,In marcia / fermata / arresto,Passeggero,F,Deceduto sul posto,-1,,Utilizzato,
6031071,7,28/06/2022 08:00,Strada Urbana,VIA DI TOR TRE TESTE,in corrispondenza,,del palo luce n.,37,,Infortunio per sola frenata improvvisa,Curva a visuale libera,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,0,0,1,0,140.17.00,431.31.00,0,1,Ciclomotore,In marcia / fermata / arresto,Conducente,M,Deceduto durante prime cure,-1,,Utilizzato,
6031381,12,30/06/2022 09:00,Strada Urbana,VIALE EUROPA,in prossimità,,del civico n.,160,,Investimento di pedone,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,0,0,2,0,135.01.00,423.17.00,0,,,,Pedone,F,Deceduto durante prime cure,-1,,,
6031381,12,30/06/2022 09:00,Strada Urbana,VIALE EUROPA,in prossimità,,del civico n.,160,,Investimento di pedone,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,0,0,2,0,135.01.00,423.17.00,0,1,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Utilizzato,
6041826,1,07/07/2022 21:40,Strada Urbana,VIA CILICIA,da specificare,,,,ALTEZZA SOTTOPASSO,Tamponamento,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,0,0,1,2,125.01.00,429.52.00,-1,1,Motociclo a solo,In marcia / fermata / arresto,Conducente,F,Deceduto durante prime cure,-1,,Non accertato,
6045381,20,11/07/2022 00:10,Strada Urbana,VIA DEL FORO ITALICO,in prossimità,,del civico n.,605,,Scontro frontale fra veicoli in marcia,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Buona,,1,0,2,0,20.19,425.47.00,-1,1,Autovettura privata,In marcia / fermata / arresto,Conducente,F,Deceduto sul posto,-1,,Non accertato,Inesploso
6045381,20,11/07/2022 00:10,Strada Urbana,VIA DEL FORO ITALICO,in prossimità,,del civico n.,605,,Scontro frontale fra veicoli in marcia,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Buona,,1,0,2,0,20.19,425.47.00,-1,1,Autovettura privata,In marcia / fermata / arresto,Passeggero,F,Deceduto sul posto,-1,,,
6050018,18,14/07/2022 07:30,Strada Urbana,VIA AURELIA,in prossimità,,del civico n.,557,,Scontro frontale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Intenso,Buona,,0,0,1,2,127.18.00,434.06.00,-1,1,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Utilizzato,
6051967,5,15/07/2022 12:40,Strada Urbana,VIA DI CASAL BIANCO,da specificare,,,,in prossimità di VIA RUBELLIA,Scontro frontale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Buona,,0,0,1,2,129.57.00,425.31.00,-1,2,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Utilizzato,
6069267,20,29/07/2022 16:45,Strada Urbana,VIA CASSIA NUOVA,in corrispondenza,,del civico n.,174,,Scontro frontale/laterale DX fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Bitumata,Verticale ed orizzontale,Sereno,Normale,Sufficiente,,0,0,1,1,,,0,1,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto durante prime cure,-1,,Non accertato,
6070438,16,31/07/2022 04:00,Strada Urbana,VIA LAURENTINA,da specificare,,,,prox 508 / fronte palo luce 106,Veicolo in marcia contro ostacolo fisso,Pendenza,Due carreggiate,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Sufficiente,,4,0,1,0,138.16.00,419.43.00,-1,1,Autovettura privata,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Non accertato,Esploso
6086380,16,15/08/2022 18:25,Strada Urbana,VIA AURELIA ANTICA,all'intersezione con,LARGO 3 GIUGNO 1849,LARGO 3 GIUGNO 1849,,,Veicolo in marcia contro ostacolo fisso,Intersezione stradale segnalata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,,0,1,1,0,19.15,433.02.00,-1,1,Autovettura privata,In marcia / fermata / arresto,Passeggero,F,Deceduto durante prime cure,-1,,Non accertato,Esploso
6087855,5,18/08/2022 05:15,Strada Urbana,VIA PRENESTINA,all'intersezione semaforizzata con,VIALE DELLA SERENISSIMA,VIALE DELLA SERENISSIMA,,,Scontro frontale/laterale SX fra veicoli in marcia,Incrocio,Più di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,,1,0,1,0,21.19,433.49.00,-1,2,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Utilizzato,
6090238,6,20/08/2022 22:07,Strada Urbana,VIA PRENESTINA,in corrispondenza,,del civico n.,236/A,,Investimento di pedone,Rettilineo,Più di due carreggiate,Asciutto,Asfaltata,Verticale,Sereno,Scarso,Buona,,0,0,1,1,12.54,433.22.00,0,,,,Pedone,M,Deceduto durante prime cure,-1,,,
6090505,19,21/08/2022 15:00,Strada Urbana,VIA SEBASTIANO VINCI,in corrispondenza,,del civico n.,45,,Fuoriuscita dalla sede stradale,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,,0,0,1,0,127.22.00,425.36.00,-1,1,Autovettura privata,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,,
6092719,6,24/08/2022 04:07,Strada Urbana,VIA PRENESTINA,da specificare,,,,FRONTE 1082 SVINCOLO GRA DIREZIONE NAPOLI,Scontro frontale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,,0,0,1,1,126.11.00,428.46.00,-1,2,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,,
6096855,10,28/08/2022 10:10,Strada Urbana,VIA VITTORIO RAGUSA,da specificare,,,,rampa immissione da via di Tor Vergata,Veicolo in marcia contro ostacolo fisso,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,,0,0,1,0,129.45.00,425.18.00,-1,1,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto durante prime cure,-1,,Utilizzato,
