Protocollo,Municipio,TipoPersona,Sesso,Tipolesione,Deceduto,CondizioneAtmosferica,NaturaIncidente,DataOraIncidente
5020177,Municipio VIII,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,07/08/2020 23:57:00
5023059,Municipio VII,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro veicolo arresto,12/08/2020 18:20:00
5029340,Municipio X,Conducente,M,Deceduto durante trasporto,-1,Sereno,Scontro frontale/laterale SX fra veicoli in marcia,20/08/2020 16:30:00
5030991,Municipio IX,Pedone non identificato,M,Deceduto sul posto,-1,Nuvoloso,Investimento di pedone,22/08/2020 20:30:00
5031340,Municipio IX,Pedone,M,Deceduto sul posto,-1,Sereno,Investimento di pedone,23/08/2020 20:55:00
5038617,Municipio XI,Conducente,M,Deceduto sul posto,-1,Pioggia in atto,Tamponamento,31/08/2020 11:00:00
5052230,Municipio IX,Passeggero,F,Deceduto sul posto,-1,Sereno,Scontro frontale/laterale DX fra veicoli in marcia,10/09/2020 14:50:00
5057245,Municipio II,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro frontale/laterale SX fra veicoli in marcia,14/09/2020 19:50:00
5079398,Municipio IX,Pedone,F,Deceduto sul posto,-1,Sereno,Investimento di pedone,28/09/2020 20:20:00
5098191,Municipio X,Conducente,M,Deceduto durante prime cure,-1,Sereno,Tamponamento,09/10/2020 09:10:00
5100358,Municipio III,Conducente,M,Deceduto sul posto,-1,Nuvoloso,Scontro frontale fra veicoli in marcia,11/10/2020 04:20:00
5101307,Municipio VII,Pedone,F,Deceduto durante prime cure,-1,Sereno,Investimento di pedone,09/10/2020 18:00:00
5106082,Municipio XV,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro veicolo in sosta,13/10/2020 15:55:00
5123380,Municipio II,Conducente,M,Deceduto sul posto,-1,Nuvoloso,Scontro frontale fra veicoli in marcia,23/10/2020 14:00:00
5246931,Municipio V,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro frontale/laterale DX fra veicoli in marcia,23/10/2020 09:40:00
5139224,Municipio II,Conducente,M,Deceduto sul posto,-1,Nuvoloso,Veicolo in marcia contro ostacolo fisso,05/11/2020 11:10:00
5141575,Municipio II,Conducente,M,Deceduto durante prime cure,-1,Sereno,Scontro frontale/laterale SX fra veicoli in marcia,06/11/2020 15:20:00
5144034,Municipio III,Pedone,M,Deceduto sul posto,-1,Sereno,Investimento di pedone,08/11/2020 21:07:00
5145752,Municipio X,Pedone,M,Deceduto sul posto,-1,Sereno,Investimento di pedone,09/11/2020 18:20:00
5146165,Municipio V,Conducente,M,Deceduto durante prime cure,-1,Sereno,Veicolo in marcia contro veicolo in sosta,10/11/2020 02:20:00
5154962,Municipio II,Conducente,M,Deceduto durante prime cure,-1,Sereno,Scontro frontale/laterale SX fra veicoli in marcia,15/11/2020 20:35:00
5164266,Municipio III,Pedone,M,Deceduto sul posto,-1,Sereno,Investimento di pedone,22/11/2020 22:50:00
5164604,Municipio XI,Conducente,M,Deceduto sul posto,-1,Sereno,Tamponamento,22/11/2020 17:20:00
5169457,Municipio VII,Pedone,M,Deceduto durante prime cure,-1,Sereno,Investimento di pedone,25/11/2020 20:15:00
5176838,Municipio I,Pedone,M,Deceduto sul posto,-1,Nuvoloso,Investimento di pedone,01/12/2020 05:27:00
5180954,Municipio II,Conducente,M,Deceduto durante prime cure,-1,Nuvoloso,Scontro frontale fra veicoli in marcia,03/12/2020 12:30:00
5181529,Municipio X,Pedone,F,Deceduto sul posto,-1,Nuvoloso,Investimento di pedone,03/12/2020 06:55:00
5183605,Municipio I,Pedone,F,Deceduto durante prime cure,-1,Pioggia in atto,Investimento di pedone,04/12/2020 17:00:00
5186726,Municipio I,Pedone,F,Deceduto durante trasporto,-1,Nuvoloso,Investimento di pedone,07/12/2020 18:35:00
5189754,Municipio I,Pedone,M,Deceduto sul posto,-1,Nuvoloso,Investimento di pedone,09/12/2020 21:00:00
5196801,Municipio I,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro laterale fra veicoli in marcia,14/12/2020 08:00:00
5200601,Municipio I,Pedone,F,Deceduto durante prime cure,-1,Sereno,Investimento di pedone,16/12/2020 18:20:00
5211703,Municipio I,Passeggero,M,Deceduto durante prime cure,-1,Nuvoloso,Tamponamento,24/12/2020 16:40:00
5216554,Municipio I,Conducente,M,Deceduto durante prime cure,-1,Sereno,Veicolo in marcia contro ostacolo fisso,29/12/2020 23:55:00
